order_id,order_date,ship_date,customer_id,product_id,quantity,unit_price,discount_pct,region,state,channel
O300000,2024-03-13,2024-03-20,C10128,P20118,3,145.53,0.0,West,OR,In-Store
O300001,2025-02-25,2025-03-01,C10057,P20181,5,294.0,0.0,South,GA,Partner
O300002,2023-12-11,2023-12-18,C10280,P20181,3,330.58,0.0,Northeast,NY,Online
O300003,2025-10-14,2025-10-19,C10453,P20062,10,370.48,0.0,Midwest,IL,Online
O300004,2023-12-03,2023-12-05,C10202,P20153,6,23.06,0.1,Midwest,WI,Online
O300005,2023-02-12,2023-02-13,C10010,P20155,7,445.79,0.05,Northeast,MA,Online
O300006,2025-08-31,2025-09-06,C10483,P20122,5,300.02,0.0,South,FL,Online
O300007,2024-08-11,2024-08-15,C10436,P20029,3,414.94,0.0,Northeast,NY,Online
O300008,2023-07-26,2023-07-28,C10353,P20158,7,420.94,0.0,Midwest,OH,Online
O300009,2024-08-07,2024-08-14,C10474,P20196,8,221.86,0.05,Midwest,MI,Partner
O300010,2023-05-15,2023-05-22,C10421,P20156,10,86.01,0.0,Midwest,WI,In-Store
O300011,2025-12-16,2025-12-22,C10271,P20071,5,321.01,0.05,Midwest,MI,Online
O300012,2023-02-02,2023-02-06,C10202,P20073,1,841.12,0.05,Midwest,WI,In-Store
O300013,2025-04-06,2025-04-11,C10374,P20131,9,405.52,0.0,South,TN,In-Store
O300014,2023-06-20,2023-06-27,C10069,P20091,8,596.26,0.0,West,WA,Online
O300015,2025-02-09,2025-02-12,C10145,P20127,3,164.27,0.15,Midwest,IN,In-Store
O300016,2023-10-29,2023-11-01,C10137,P20077,2,566.98,0.05,West,WA,Online
O300017,2023-11-24,2023-11-29,C10437,P20129,1,823.31,0.0,West,NV,Online
O300018,2025-12-18,2025-12-25,C10091,P20047,4,458.61,0.0,Midwest,MI,Online
O300019,2023-12-22,2023-12-28,C10379,P20178,6,228.29,0.05,West,OR,In-Store
O300020,2025-06-24,2025-06-25,C10476,P20077,4,522.4,0.0,Midwest,OH,Online
O300021,2023-07-11,2023-07-12,C10346,P20048,8,220.61,0.15,Midwest,MI,Online
O300022,2023-01-30,2023-02-02,C10430,P20078,8,376.72,0.2,Southwest,NM,Online
O300023,2023-08-05,2023-08-06,C10122,P20115,6,385.47,0.05,Northeast,MA,Online
O300024,2023-12-03,2023-12-04,C10089,P20163,8,237.19,0.15,Midwest,IL,Online
O300025,2024-09-13,2024-09-18,C10027,P20021,1,172.4,0.0,Midwest,MI,In-Store
O300026,2023-01-09,2023-01-15,C10361,P20000,1,248.97,0.1,Southwest,CO,Online
O300027,2023-01-27,2023-02-03,C10176,P20105,1,504.14,0.0,Midwest,OH,Online
O300028,2023-11-09,2023-11-15,C10243,P20114,9,27.03,0.2,Southwest,UT,Online
O300029,2025-06-28,2025-07-05,C10387,P20153,1,23.88,0.15,Southwest,UT,In-Store
O300030,2025-04-15,2025-04-17,C10142,P20174,9,275.28,0.05,Northeast,NJ,Online
O300031,2023-12-24,2023-12-29,C10063,P20104,4,477.71,0.0,Southwest,NM,Online
O300032,2023-08-21,2023-08-26,C10314,P20064,6,294.66,0.1,South,TX,Online
O300033,2023-06-14,2023-06-18,C10128,P20073,1,740.46,0.1,West,OR,Partner
O300034,2024-01-03,2024-01-09,C10358,P20141,2,433.87,0.1,Northeast,CT,Online
O300035,2023-01-12,2023-01-15,C10058,P20069,6,762.54,0.0,West,CA,Online
O300036,2024-03-04,2024-03-08,C10364,P20111,7,188.5,0.1,South,FL,In-Store
O300037,2025-06-01,2025-06-03,C10020,P20081,3,496.92,0.0,Midwest,OH,Online
O300038,2024-08-13,2024-08-18,C10357,P20145,10,319.39,0.05,Northeast,MA,Online
O300039,2023-04-28,2023-05-01,C10414,P20184,3,90.79,0.0,Southwest,NM,Partner
O300040,2023-04-18,2023-04-20,C10160,P20020,8,413.88,0.15,West,OR,In-Store
O300041,2023-03-17,2023-03-18,C10307,P20063,7,495.87,0.1,Northeast,CT,In-Store
O300042,2025-08-20,2025-08-25,C10414,P20073,5,820.05,0.2,Southwest,NM,In-Store
O300043,2024-12-28,2024-12-31,C10130,P20070,5,359.48,0.2,Northeast,MA,Online
O300044,2025-01-26,2025-01-30,C10030,P20090,4,316.29,0.0,Northeast,NY,Online
O300045,2024-09-30,2024-10-06,C10383,P20103,6,673.76,0.1,Southwest,CO,In-Store
O300046,2025-05-24,2025-05-29,C10324,P20103,10,668.58,0.0,Southwest,AZ,Online
O300047,2024-07-31,2024-08-07,C10305,P20192,9,251.63,0.0,Southwest,CO,In-Store
O300048,2023-01-17,2023-01-23,C10084,P20187,9,62.17,0.05,Southwest,NM,Online
O300049,2024-05-03,2024-05-09,C10019,P20160,9,256.33,0.05,Midwest,MI,Online
O300050,2025-05-07,2025-05-09,C10203,P20157,4,17.72,0.15,Northeast,PA,Online
O300051,2023-09-15,2023-09-22,C10093,P20077,2,535.72,0.1,South,TN,Online
O300052,2025-05-27,2025-06-02,C10374,P20092,6,359.96,0.2,South,TN,Online
O300053,2023-02-25,2023-03-04,C10465,P20164,10,542.97,0.05,Northeast,NY,In-Store
O300054,2025-03-28,2025-04-03,C10237,P20141,7,397.13,0.05,Midwest,OH,Partner
O300055,2025-06-26,2025-07-02,C10036,P20106,3,751.96,0.15,West,CA,Partner
O300056,2025-05-04,2025-05-09,C10224,P20046,9,179.73,0.0,West,NV,Online
O300057,2023-09-12,2023-09-15,C10035,P20072,9,231.82,0.0,Southwest,UT,Online
O300058,2024-01-20,2024-01-22,C10112,P20158,4,404.49,0.05,South,TX,Partner
O300059,2023-06-15,2023-06-22,C10221,P20139,10,534.98,0.1,South,TX,In-Store
O300060,2024-11-06,2024-11-11,C10191,P20108,6,335.89,0.2,Midwest,OH,In-Store
O300061,2025-05-05,2025-05-07,C10278,P20092,4,327.48,0.05,Midwest,OH,Online
O300062,2024-07-22,2024-07-25,C10090,P20018,9,226.25,0.0,South,TX,Partner
O300063,2023-07-09,2023-07-14,C10002,P20093,4,390.34,0.05,South,NC,Online
